asn,ipv4,ipv6,ix_id,country,prefixes,pdb_id
6775,['185.1.48.48'],"['2001:7f8:3f:0:0:1a77:0:1', '2001:7f8:3f::1a77:0:1']",187,TR,"{'ipv4': ['185.1.48.0/24'], 'ipv6': ['2001:7f8:3f::/64']}",1150.0
6823,[],['2001:7f8:3f:0:0:1aa7:0:1'],187,TR,"{'ipv4': ['185.1.48.0/24'], 'ipv6': ['2001:7f8:3f::/64']}",1150.0
6939,['185.1.48.16'],"['2001:7f8:3f:0:0:1b1b:0:1', '2001:7f8:3f::1b1b:0:1']",187,TR,"{'ipv4': ['185.1.48.0/24'], 'ipv6': ['2001:7f8:3f::/64']}",1150.0
8075,"['185.1.48.11', '185.1.48.19']","['2001:7f8:3f::1f8b:0:2', '2001:7f8:3f:0:0:1f8b:0:1', '2001:7f8:3f:0:0:1f8b:0:2', '2001:7f8:3f::1f8b:0:1']",187,TR,"{'ipv4': ['185.1.48.0/24'], 'ipv6': ['2001:7f8:3f::/64']}",1150.0
1820,[],['2001:7f8:3f:0:0:3d9c:0:1'],187,TR,"{'ipv4': ['185.1.48.0/24'], 'ipv6': ['2001:7f8:3f::/64']}",1150.0
19551,"['185.1.48.56', '185.1.48.15']","['2001:7f8:3f:0:0:4c5f:0:1', '2001:7f8:3f::4c5f:0:1']",187,TR,"{'ipv4': ['185.1.48.0/24'], 'ipv6': ['2001:7f8:3f::/64']}",1150.0
39533,['185.1.48.41'],['2001:7f8:3f:0:0:9a6d:0:2'],187,TR,"{'ipv4': ['185.1.48.0/24'], 'ipv6': ['2001:7f8:3f::/64']}",1150.0
12735,['185.1.48.12'],"['2001:7f8:3f::31bf:0:1', '2001:7f8:3f:0:0:31bf:0:1']",187,TR,"{'ipv4': ['185.1.48.0/24'], 'ipv6': ['2001:7f8:3f::/64']}",1150.0
20715,"['185.1.48.66', '185.1.48.43', '185.1.48.252', '185.1.48.253', '185.1.48.250', '185.1.48.251']","['2001:7f8:3f:0:0:50eb:fc:1', '2001:7f8:3f::50eb:fc:1', '2001:7f8:3f:0:0:50eb:fd:1', '2001:7f8:3f::50eb:fa:1', '2001:7f8:3f::50eb:42:1', '2001:7f8:3f::50eb:fb:1', '2001:7f8:3f:0:3:22d9:0:1', '2001:7f8:3f::50eb:fd:1']",187,TR,"{'ipv4': ['185.1.48.0/24'], 'ipv6': ['2001:7f8:3f::/64']}",1150.0
20940,['185.1.48.28'],"['2001:7f8:3f:0:0:51cc:0:1', '2001:7f8:3f::51cc:0:1']",187,TR,"{'ipv4': ['185.1.48.0/24'], 'ipv6': ['2001:7f8:3f::/64']}",1150.0
29399,"['185.1.48.53', '185.1.48.50']","['2001:7f8:3f::72d7:0:1', '2001:7f8:3f::72d7:0:2', '2001:7f8:3f:0:0:72d7:0:1']",187,TR,"{'ipv4': ['185.1.48.0/24'], 'ipv6': ['2001:7f8:3f::/64']}",1150.0
13335,['185.1.48.22'],"['2001:7f8:3f:0:0:3417:0:1', '2001:7f8:3f::3417:0:1']",187,TR,"{'ipv4': ['185.1.48.0/24'], 'ipv6': ['2001:7f8:3f::/64']}",1150.0
42910,['185.1.48.3'],"['2001:7f8:3f::a79e:0:1', '2001:7f8:3f:0:0:a79e:0:1']",187,TR,"{'ipv4': ['185.1.48.0/24'], 'ipv6': ['2001:7f8:3f::/64']}",1150.0
44444,[],['2001:7f8:3f:0:0:ad9c:0:1'],187,TR,"{'ipv4': ['185.1.48.0/24'], 'ipv6': ['2001:7f8:3f::/64']}",1150.0
