asn,ipv4,ipv6,ix_id,country,prefixes,pdb_id
38949,['194.30.187.11'],['2001:7f8:91::4:1'],542,SK,"{'ipv4': ['194.30.187.0/24'], 'ipv6': ['2001:7f8:91::/64']}",299.0
31117,['194.30.187.12'],['2001:7f8:91::10:1'],542,SK,"{'ipv4': ['194.30.187.0/24'], 'ipv6': ['2001:7f8:91::/64']}",299.0
5578,['194.30.187.13'],[],542,SK,"{'ipv4': ['194.30.187.0/24'], 'ipv6': ['2001:7f8:91::/64']}",299.0
15935,"['194.30.187.43', '194.30.187.14']",['2001:7f8:91::16:1'],542,SK,"{'ipv4': ['194.30.187.0/24'], 'ipv6': ['2001:7f8:91::/64']}",299.0
42005,"['194.30.187.115', '194.30.187.15']","['2001:7f8:91::1b:2', '2001:7f8:91::1b:1']",542,SK,"{'ipv4': ['194.30.187.0/24'], 'ipv6': ['2001:7f8:91::/64']}",299.0
42841,['194.30.187.28'],['2001:7f8:91::b:1'],542,SK,"{'ipv4': ['194.30.187.0/24'], 'ipv6': ['2001:7f8:91::/64']}",299.0
12905,['194.30.187.26'],['2001:7f8:91::15:1'],542,SK,"{'ipv4': ['194.30.187.0/24'], 'ipv6': ['2001:7f8:91::/64']}",299.0
29208,['194.30.187.9'],['2001:7f8:91::1:1'],542,SK,"{'ipv4': ['194.30.187.0/24'], 'ipv6': ['2001:7f8:91::/64']}",299.0
24971,['194.30.187.85'],['2001:7f8:91::8:1'],542,SK,"{'ipv4': ['194.30.187.0/24'], 'ipv6': ['2001:7f8:91::/64']}",299.0
25192,['194.30.187.3'],['2001:7f8:91::2:1'],542,SK,"{'ipv4': ['194.30.187.0/24'], 'ipv6': ['2001:7f8:91::/64']}",299.0
201702,['194.30.187.61'],['2001:7f8:91::6:1'],542,SK,"{'ipv4': ['194.30.187.0/24'], 'ipv6': ['2001:7f8:91::/64']}",299.0
