ASN,prefix,size,Country,City,Latitude,Longitude,full_prefix
31117,5.59.168.0,24,Slovakia,Snina,48.9849,22.153,5.59.168.0/24
31117,5.59.186.0,24,Slovakia,Liptovský Mikuláš,49.1053,19.6747,5.59.186.0/24
31117,5.59.187.0,24,Slovakia,Košice,48.7771,21.2116,5.59.187.0/24
31117,5.59.199.0,24,Slovakia,Moldava nad Bodvou,48.6122,20.9981,5.59.199.0/24
60715,185.152.197.0,24,Slovakia,Piešťany,48.5938,17.8267,185.152.197.0/24
5578,62.197.222.0,24,Slovakia,Pezinok,48.2743,17.2558,62.197.222.0/24
5578,85.248.234.0,24,Slovakia,,48.6667,19.5,85.248.234.0/24
996,109.238.202.0,24,Slovakia,Bratislava,48.1833,17.0379,109.238.202.0/24
42005,92.240.233.0,24,Slovakia,,48.6667,19.5,92.240.233.0/24
29405,92.240.234.0,24,Slovakia,,48.6667,19.5,92.240.234.0/24
29405,92.240.235.0,24,Slovakia,,48.6667,19.5,92.240.235.0/24
29405,92.240.236.0,24,Slovakia,,48.6667,19.5,92.240.236.0/24
42005,92.240.238.0,23,Slovakia,,48.6667,19.5,92.240.238.0/23
29405,92.240.241.0,24,Slovakia,,48.6667,19.5,92.240.241.0/24
29405,92.240.242.0,24,Slovakia,,48.6667,19.5,92.240.242.0/24
42005,92.240.247.0,24,Slovakia,,48.6667,19.5,92.240.247.0/24
42005,92.240.248.0,24,Slovakia,,48.6667,19.5,92.240.248.0/24
29405,92.240.249.0,24,Slovakia,Bratislava,48.1833,17.0379,92.240.249.0/24
42005,92.240.250.0,24,Slovakia,,48.6667,19.5,92.240.250.0/24
29405,92.240.253.0,24,Slovakia,,48.6667,19.5,92.240.253.0/24
42473,37.252.246.0,24,Slovakia,Bratislava,48.1833,17.0379,37.252.246.0/24
208668,92.245.24.0,24,Slovakia,Brezno,48.8533,19.6571,92.245.24.0/24
208668,92.245.25.0,24,Slovakia,Brezno,48.8533,19.6571,92.245.25.0/24
209816,92.245.26.0,24,Slovakia,Ploské,48.8142,21.3281,92.245.26.0/24
57760,176.107.22.0,24,Slovakia,Novaky,48.7722,18.7973,176.107.22.0/24
5578,195.72.0.0,19,Slovakia,,48.6667,19.5,195.72.0.0/19
200055,85.248.249.0,24,Slovakia,,48.6667,19.5,85.248.249.0/24
13335,8.47.69.0,24,Slovakia,Bratislava,48.1833,17.0379,8.47.69.0/24
201924,141.101.128.0,24,Slovakia,Bratislava,48.1833,17.0379,141.101.128.0/24
201924,141.101.129.0,24,Slovakia,Bratislava,48.1833,17.0379,141.101.129.0/24
201924,141.101.130.0,24,Slovakia,Bratislava,48.1833,17.0379,141.101.130.0/24
201924,141.101.131.0,24,Slovakia,Bratislava,48.1833,17.0379,141.101.131.0/24
58272,141.101.163.0,24,Slovakia,Bratislava,48.1833,17.0379,141.101.163.0/24
13335,172.70.225.0,24,Slovakia,Bratislava,48.1833,17.0379,172.70.225.0/24
6855,95.102.0.0,15,Slovakia,Sereg,48.3165,17.7215,95.102.0.0/15
15962,5.178.48.0,20,Slovakia,Zlate Moravce,48.3901,18.3956,5.178.48.0/20
16367,194.1.215.0,24,Slovakia,,48.6667,19.5,194.1.215.0/24
29405,45.149.176.0,24,Slovakia,,48.6667,19.5,45.149.176.0/24
29405,45.149.177.0,24,Slovakia,,48.6667,19.5,45.149.177.0/24
29405,46.229.224.0,20,Slovakia,Ružomberok,49.0843,19.2808,46.229.224.0/20
29405,92.240.237.0,24,Slovakia,,48.6667,19.5,92.240.237.0/24
42005,92.240.238.0,24,Slovakia,,48.6667,19.5,92.240.238.0/24
42005,92.240.239.0,24,Slovakia,,48.6667,19.5,92.240.239.0/24
42005,92.240.240.0,24,Slovakia,,48.6667,19.5,92.240.240.0/24
42005,92.240.243.0,24,Slovakia,,48.6667,19.5,92.240.243.0/24
29405,92.240.244.0,24,Slovakia,,48.6667,19.5,92.240.244.0/24
29405,92.240.245.0,24,Slovakia,,48.6667,19.5,92.240.245.0/24
42005,92.240.246.0,24,Slovakia,,48.6667,19.5,92.240.246.0/24
58014,92.240.251.0,24,Slovakia,,48.6667,19.5,92.240.251.0/24
42005,92.240.252.0,24,Slovakia,,48.6667,19.5,92.240.252.0/24
29405,92.240.254.0,24,Slovakia,,48.6667,19.5,92.240.254.0/24
28952,31.3.32.0,19,Slovakia,,48.6667,19.5,31.3.32.0/19
28952,37.58.0.0,20,Slovakia,,48.6667,19.5,37.58.0.0/20
28952,37.152.96.0,19,Slovakia,,48.6667,19.5,37.152.96.0/19
28952,46.34.224.0,19,Slovakia,Nitra,48.3132,18.0512,46.34.224.0/19
34820,45.152.96.0,24,Slovakia,Revúca,48.6868,20.1163,45.152.96.0/24
34820,45.158.82.0,24,Slovakia,Košice,48.7195,21.2635,45.158.82.0/24
51013,37.9.168.0,21,Slovakia,,48.6667,19.5,37.9.168.0/21
51013,37.9.168.0,24,Slovakia,,48.6667,19.5,37.9.168.0/24
51013,37.9.175.0,24,Slovakia,,48.6667,19.5,37.9.175.0/24
51013,45.13.137.0,24,Slovakia,,48.6667,19.5,45.13.137.0/24
51013,45.138.184.0,24,Slovakia,,48.6667,19.5,45.138.184.0/24
51013,45.138.185.0,24,Slovakia,,48.6667,19.5,45.138.185.0/24
208882,45.81.40.0,23,Slovakia,Piešťany,48.5938,17.8267,45.81.40.0/23
35328,46.18.144.0,21,Slovakia,Parnica,49.1927,19.2046,46.18.144.0/21
35328,46.18.144.0,22,Slovakia,Parnica,49.1927,19.2046,46.18.144.0/22
35328,46.18.148.0,22,Slovakia,Stará Ľubovňa,49.2995,20.6913,46.18.148.0/22
202564,5.59.10.0,24,Slovakia,Prešov,48.9903,21.2893,5.59.10.0/24
202564,45.66.54.0,24,Slovakia,Prešov,48.9903,21.2893,45.66.54.0/24
2607,147.232.0.0,16,Slovakia,Košice,48.7195,21.2635,147.232.0.0/16
2607,147.232.0.0,17,Slovakia,Košice,48.7195,21.2635,147.232.0.0/17
34820,45.152.96.0,24,Slovakia,Revúca,48.6868,20.1163,45.152.96.0/24
34820,45.158.82.0,24,Slovakia,Košice,48.7195,21.2635,45.158.82.0/24
996,109.238.202.0,24,Slovakia,Bratislava,48.1833,17.0379,109.238.202.0/24
51013,37.9.168.0,21,Slovakia,,48.6667,19.5,37.9.168.0/21
51013,37.9.168.0,24,Slovakia,,48.6667,19.5,37.9.168.0/24
51013,37.9.175.0,24,Slovakia,,48.6667,19.5,37.9.175.0/24
51013,45.13.137.0,24,Slovakia,,48.6667,19.5,45.13.137.0/24
51013,45.138.184.0,24,Slovakia,,48.6667,19.5,45.138.184.0/24
51013,45.138.185.0,24,Slovakia,,48.6667,19.5,45.138.185.0/24
42005,92.240.233.0,24,Slovakia,,48.6667,19.5,92.240.233.0/24
29405,92.240.234.0,24,Slovakia,,48.6667,19.5,92.240.234.0/24
29405,92.240.235.0,24,Slovakia,,48.6667,19.5,92.240.235.0/24
29405,92.240.236.0,24,Slovakia,,48.6667,19.5,92.240.236.0/24
42005,92.240.238.0,23,Slovakia,,48.6667,19.5,92.240.238.0/23
29405,92.240.241.0,24,Slovakia,,48.6667,19.5,92.240.241.0/24
29405,92.240.242.0,24,Slovakia,,48.6667,19.5,92.240.242.0/24
42005,92.240.247.0,24,Slovakia,,48.6667,19.5,92.240.247.0/24
42005,92.240.248.0,24,Slovakia,,48.6667,19.5,92.240.248.0/24
29405,92.240.249.0,24,Slovakia,Bratislava,48.1833,17.0379,92.240.249.0/24
42005,92.240.250.0,24,Slovakia,,48.6667,19.5,92.240.250.0/24
