ASN,prefix,size
6775,45.143.188.0,22
6775,79.134.224.0,19
6775,79.134.254.0,23
6823,37.202.48.0,21
6823,37.202.48.0,24
6823,37.202.49.0,24
6823,37.202.50.0,24
6823,37.202.51.0,24
6823,37.202.52.0,24
6823,37.202.53.0,24
6823,37.202.54.0,24
6823,37.202.55.0,24
6823,178.251.40.0,24
6823,178.251.41.0,24
6823,178.251.42.0,24
6823,178.251.43.0,24
6823,178.251.44.0,24
6823,178.251.45.0,24
6823,178.251.46.0,24
6823,178.251.47.0,24
6939,23.26.128.0,24
6939,23.142.192.0,24
6939,23.145.128.0,24
6939,23.146.80.0,24
6939,23.164.160.0,24
6939,23.171.48.0,24
6939,23.175.160.0,24
6939,27.50.32.0,21
6939,31.40.196.0,22
6939,38.87.144.0,23
6939,45.12.83.0,24
6939,45.41.213.0,24
6939,46.29.24.0,22
6939,52.129.12.0,23
6939,64.7.224.0,20
6939,64.62.128.0,17
6939,64.62.128.0,18
6939,64.71.128.0,18
6939,64.112.76.0,24
6939,64.112.77.0,24
6939,64.112.78.0,24
6939,64.112.79.0,24
6939,65.19.128.0,18
6939,65.49.0.0,17
6939,65.49.2.0,24
6939,65.49.14.0,24
6939,65.49.68.0,24
6939,65.49.104.0,22
6939,65.49.108.0,22
6939,66.119.119.0,24
6939,66.160.128.0,18
6939,66.160.192.0,20
6939,66.207.160.0,20
6939,66.220.0.0,19
6939,67.21.38.0,23
6939,67.43.48.0,20
6939,72.14.64.0,24
6939,72.14.65.0,24
6939,72.14.66.0,24
6939,72.14.67.0,24
6939,72.14.72.0,24
6939,72.14.75.0,24
6939,72.14.89.0,24
6939,72.14.90.0,24
6939,72.21.28.0,24
6939,72.52.64.0,18
6939,72.52.92.0,24
6939,74.82.0.0,18
6939,74.82.22.0,23
6939,74.82.46.0,24
6939,74.82.48.0,22
6939,74.121.8.0,24
6939,74.121.10.0,24
6939,74.122.152.0,21
6939,85.8.144.0,22
6939,94.156.112.0,24
6939,94.156.113.0,24
6939,94.156.114.0,24
6939,94.156.115.0,24
6939,94.156.116.0,24
6939,94.156.117.0,24
6939,94.156.118.0,24
6939,94.156.119.0,24
6939,94.156.120.0,24
6939,94.156.121.0,24
6939,94.156.122.0,24
6939,94.156.124.0,24
6939,103.6.216.0,22
6939,103.120.67.0,24
6939,103.120.207.0,24
6939,103.176.58.0,24
6939,103.176.59.0,24
6939,103.207.71.0,24
6939,103.253.24.0,24
6939,103.253.25.0,24
6939,103.253.26.0,24
6939,103.253.27.0,24
6939,104.36.120.0,22
6939,104.164.206.0,24
6939,104.165.12.0,24
6939,104.165.72.0,24
6939,104.165.195.0,24
6939,104.194.216.0,23
6939,104.234.47.0,24
6939,104.255.240.0,21
6939,107.164.22.0,24
6939,107.164.24.0,24
6939,107.164.86.0,24
6939,107.164.139.0,24
6939,107.164.173.0,24
6939,107.165.169.0,24
6939,107.165.197.0,24
6939,107.165.212.0,24
6939,107.165.215.0,24
6939,107.165.224.0,24
6939,107.186.4.0,24
6939,107.186.9.0,24
6939,107.186.13.0,24
6939,107.186.20.0,24
6939,107.186.23.0,24
6939,107.186.25.0,24
6939,107.186.30.0,24
6939,107.186.32.0,24
6939,107.186.56.0,24
6939,107.186.63.0,24
6939,107.186.64.0,24
6939,107.186.79.0,24
6939,107.186.91.0,24
6939,107.186.152.0,24
6939,107.186.193.0,24
6939,107.186.203.0,24
6939,107.186.224.0,24
6939,107.186.234.0,24
6939,107.187.43.0,24
6939,107.187.101.0,24
6939,107.187.102.0,24
6939,107.187.104.0,24
6939,107.187.108.0,24
6939,107.187.111.0,24
6939,108.165.70.0,24
6939,108.165.108.0,23
6939,108.165.120.0,22
6939,128.254.252.0,22
6939,134.195.36.0,24
6939,134.195.38.0,24
6939,134.195.39.0,24
6939,136.0.37.0,24
6939,136.0.50.0,24
6939,136.0.73.0,24
6939,139.28.212.0,22
6939,142.202.65.0,24
6939,142.202.216.0,22
6939,148.51.0.0,17
6939,155.254.226.0,23
6939,158.222.23.0,24
6939,161.129.140.0,22
