ASN,prefix,size,Country,City,Latitude,Longitude,full_prefix
47524,24.133.0.0,22,Türkiye,Edirne,41.6767,26.5944,24.133.0.0/22
47524,24.133.4.0,22,Türkiye,Avcılar,40.9878,28.7205,24.133.4.0/22
47524,24.133.8.0,22,Türkiye,Istanbul,41.0145,28.9533,24.133.8.0/22
47524,24.133.12.0,24,Türkiye,Istanbul,41.0145,28.9533,24.133.12.0/24
47524,24.133.13.0,24,Türkiye,Istanbul,41.0145,28.9533,24.133.13.0/24
47524,24.133.14.0,23,Türkiye,Istanbul,41.0145,28.9533,24.133.14.0/23
47524,24.133.16.0,23,Türkiye,Yalova,40.612,29.3385,24.133.16.0/23
47524,24.133.18.0,24,Türkiye,Yalova,40.612,29.3385,24.133.18.0/24
47524,24.133.19.0,24,Türkiye,Yalova,40.612,29.3385,24.133.19.0/24
47524,24.133.20.0,22,Türkiye,Yalova,40.612,29.3385,24.133.20.0/22
47524,24.133.24.0,22,Türkiye,Istanbul,41.0197,28.9757,24.133.24.0/22
47524,24.133.28.0,22,Türkiye,Istanbul,41.0256,28.8859,24.133.28.0/22
47524,24.133.32.0,22,Türkiye,Istanbul,41.0247,28.9252,24.133.32.0/22
47524,24.133.36.0,22,Türkiye,Istanbul,41.0247,28.9252,24.133.36.0/22
47524,24.133.40.0,24,Türkiye,Istanbul,41.0247,28.9252,24.133.40.0/24
47524,24.133.41.0,24,Türkiye,Istanbul,41.0247,28.9252,24.133.41.0/24
47524,24.133.42.0,23,Türkiye,Istanbul,41.0247,28.9252,24.133.42.0/23
47524,24.133.44.0,22,Türkiye,Istanbul,41.0247,28.9252,24.133.44.0/22
47524,24.133.48.0,22,Türkiye,Antalya,36.8752,30.7072,24.133.48.0/22
47524,24.133.52.0,24,Türkiye,Antalya,36.8752,30.7072,24.133.52.0/24
47524,24.133.53.0,24,Türkiye,Antalya,36.8752,30.7072,24.133.53.0/24
47524,24.133.54.0,23,Türkiye,Antalya,36.8752,30.7072,24.133.54.0/23
47524,24.133.56.0,24,Türkiye,Antalya,36.8752,30.7072,24.133.56.0/24
47524,24.133.57.0,24,Türkiye,Antalya,36.8752,30.7072,24.133.57.0/24
47524,24.133.58.0,23,Türkiye,Antalya,36.8752,30.7072,24.133.58.0/23
47524,24.133.60.0,22,Türkiye,Antalya,36.8752,30.7072,24.133.60.0/22
47524,24.133.64.0,22,Türkiye,Ankara,39.9254,32.841,24.133.64.0/22
47524,24.133.68.0,22,Türkiye,Ankara,39.9107,32.8554,24.133.68.0/22
47524,24.133.72.0,22,Türkiye,Eskişehir,39.7302,30.5345,24.133.72.0/22
47524,24.133.76.0,24,Türkiye,Eskişehir,39.7302,30.5345,24.133.76.0/24
47524,24.133.77.0,24,Türkiye,Eskişehir,39.7302,30.5345,24.133.77.0/24
47524,24.133.78.0,23,Türkiye,Eskişehir,39.7302,30.5345,24.133.78.0/23
47524,24.133.80.0,22,Türkiye,Izmir,38.5463,27.1336,24.133.80.0/22
47524,24.133.84.0,22,Türkiye,Konak,38.381,27.0928,24.133.84.0/22
47524,24.133.88.0,22,Türkiye,Eskişehir,39.7302,30.5345,24.133.88.0/22
47524,24.133.92.0,24,Türkiye,Balıkesir,39.6424,27.8106,24.133.92.0/24
47524,24.133.93.0,24,Türkiye,Balıkesir,39.6424,27.8106,24.133.93.0/24
47524,24.133.94.0,24,Türkiye,Balıkesir,39.6424,27.8106,24.133.94.0/24
47524,24.133.95.0,24,Türkiye,Balıkesir,39.6424,27.8106,24.133.95.0/24
47524,24.133.96.0,22,Türkiye,Eskişehir,39.7302,30.5345,24.133.96.0/22
