Source_IP,Destination_Name,Destination_IP,Last_Valid_Hop,RTT,Success?,Destination_IP_responded,Destination_RTT
185.248.199.254,185.1.103.95,185.1.103.95,"(4, ['185.1.103.95'], 5)",[1.4556666666666667],True,x,x
10.81.80.5,185.1.103.95,185.1.103.95,"(-1, [], 9)",[1.2036666666666667],False,x,x
10.10.10.53,185.1.103.95,185.1.103.95,"(9, ['185.1.103.95'], 10)",[17.946666666666665],True,x,x
86.125.46.138,185.1.103.95,185.1.103.95,"(-1, [], 9)",[1.3270000000000002],False,x,x
172.31.0.101,185.1.103.95,185.1.103.95,"(-1, [], 6)",[],False,x,x
194.5.208.41,185.1.103.95,185.1.103.95,"(5, ['202.12.27.33'], 6)",[41.108],False,x,x
188.241.118.205,185.1.103.95,185.1.103.95,"(5, ['185.1.103.95'], 6)",[3.1173333333333333],True,x,x
89.40.214.132,185.1.103.95,185.1.103.95,"(2, ['185.1.103.95'], 3)",[1.9603333333333335],True,x,x
192.168.100.24,185.1.103.95,185.1.103.95,"(-1, [], 9)",[0.8376666666666667],False,x,x
93.114.194.226,185.1.103.95,185.1.103.95,"(2, ['193.251.252.199'], 3)",[0.9179999999999999],False,x,x
172.27.0.2,185.1.103.95,185.1.103.95,"(-1, [], 11)",[0.09133333333333334],False,x,x
10.0.11.178,185.1.103.95,185.1.103.95,"(1, ['185.150.18.1'], 9)",[0.6626666666666666],False,x,x
45.134.48.142,185.1.103.95,185.1.103.95,"(6, ['136.255.248.202'], 13)",[13.033333333333331],False,x,x
172.31.0.248,185.1.103.95,185.1.103.95,"(-1, [], 6)",[],False,x,x
185.173.16.150,185.1.103.95,185.1.103.95,"(0, ['185.173.16.130'], 7)",[0.5126666666666667],False,x,x
192.168.168.107,185.1.103.95,185.1.103.95,"(1, ['46.214.145.1', '46.214.145.129'], 13)","[2.7845, 2.828]",False,x,x
192.168.100.120,185.1.103.95,185.1.103.95,"(-1, [], 10)",[0.6506666666666666],False,x,x
89.33.97.218,185.1.103.95,185.1.103.95,"(2, ['185.1.103.95'], 3)",[3.843],True,x,x
37.128.230.22,185.1.103.95,185.1.103.95,"(2, ['37.128.239.145'], 9)",[4.414000000000001],False,x,x
10.1.0.99,185.1.103.95,185.1.103.95,"(6, ['185.1.103.95'], 7)",[14.460333333333333],True,x,x
193.168.186.235,185.1.103.95,185.1.103.95,"(3, ['62.115.62.249'], 4)",[1.2365],False,x,x
192.168.1.235,185.1.103.95,185.1.103.95,"(4, ['81.22.150.2'], 15)",[3.3386666666666667],False,x,x
172.20.99.250,185.1.103.95,185.1.103.95,"(4, ['37.128.239.145'], 11)",[9.065333333333333],False,x,x
192.168.1.100,185.1.103.95,185.1.103.95,"(3, ['37.128.239.121'], 10)",[9.683333333333334],False,x,x
10.138.30.40,185.1.103.95,185.1.103.95,"(-1, [], 9)",[0.5506666666666666],False,x,x
172.16.0.100,185.1.103.95,185.1.103.95,"(4, ['185.1.103.95'], 5)",[3.9653333333333336],True,x,x
192.168.1.57,185.1.103.95,185.1.103.95,"(-1, [], 9)",[0.44766666666666666],False,x,x
192.168.100.67,185.1.103.95,185.1.103.95,"(-1, [], 9)",[4.324999999999999],False,x,x
10.1.5.212,185.1.103.95,185.1.103.95,"(6, ['185.1.103.95'], 7)",[10.748],True,x,x
192.168.0.115,185.1.103.95,185.1.103.95,"(3, ['185.1.103.95'], 4)",[17.175666666666668],True,x,x
192.168.100.217,185.1.103.95,185.1.103.95,"(3, ['185.1.103.95'], 4)",[5.897000000000001],True,x,x
192.168.2.104,185.1.103.95,185.1.103.95,"(-1, [], 11)",[5.17],False,x,x
10.2.2.20,185.1.103.95,185.1.103.95,"(-1, [], 9)",[0.4486666666666666],False,x,x
192.168.69.254,185.1.103.95,185.1.103.95,"(-1, [], 9)",[0.6285000000000001],False,x,x
10.222.192.125,185.1.103.95,185.1.103.95,"(-1, [], 13)",[0.4506666666666666],False,x,x
192.168.0.4,185.1.103.95,185.1.103.95,"(-1, [], 9)",[0.532],False,x,x
