,Source_IP,Destination_Name,Destination_IP,Last_Valid_Hop,RTT,Success?,Destination_IP_responded,Destination_RTT,possibly_reached?
0,185.248.199.254,86.104.125.69,86.104.125.69,"(2, ['146.70.1.64'], 9)",[0.32533333333333336],False,x,x,True
1,10.81.80.5,86.104.125.69,86.104.125.69,"(-1, [], 9)",[1.164],False,x,x,False
2,10.10.10.53,86.104.125.69,86.104.125.69,"(5, ['136.255.248.204'], 12)",[11.205666666666668],False,x,x,True
3,86.125.46.138,86.104.125.69,86.104.125.69,"(-1, [], 9)",[1.2630000000000001],False,x,x,False
4,172.31.0.101,86.104.125.69,86.104.125.69,"(-1, [], 6)",[],False,x,x,False
5,194.5.208.41,86.104.125.69,86.104.125.69,"(1, ['86.127.160.165'], 8)",[7.954666666666667],False,x,x,True
6,188.241.118.205,86.104.125.69,86.104.125.69,"(2, ['62.133.45.209'], 10)",[0.5083333333333333],False,x,x,True
7,89.40.214.132,86.104.125.69,86.104.125.69,"(2, ['62.133.45.34'], 10)",[0.37333333333333335],False,x,x,True
8,192.168.100.24,86.104.125.69,86.104.125.69,"(-1, [], 9)",[0.7873333333333333],False,x,x,False
9,93.114.194.226,86.104.125.69,86.104.125.69,"(2, ['193.251.252.199'], 3)",[0.8724999999999999],False,x,x,True
10,172.27.0.2,86.104.125.69,86.104.125.69,"(-1, [], 11)",[0.09000000000000001],False,x,x,False
11,10.0.11.178,86.104.125.69,86.104.125.69,"(1, ['185.150.18.1'], 9)",[0.586],False,x,x,False
12,45.134.48.142,86.104.125.69,86.104.125.69,"(3, ['109.101.126.177'], 14)",[0.6273333333333334],False,x,x,True
13,172.31.0.248,86.104.125.69,86.104.125.69,"(-1, [], 6)",[],False,x,x,False
14,185.173.16.150,86.104.125.69,86.104.125.69,"(0, ['185.173.16.130'], 7)",[0.53],False,x,x,False
15,192.168.168.107,86.104.125.69,86.104.125.69,"(1, ['46.214.145.1', '46.214.145.129'], 13)","[3.431, 2.926]",False,x,x,False
16,192.168.100.120,86.104.125.69,86.104.125.69,"(-1, [], 10)",[0.6276666666666667],False,x,x,False
17,89.33.97.218,86.104.125.69,86.104.125.69,"(0, ['89.33.97.217'], 7)",[0.44733333333333336],False,x,x,False
18,37.128.230.22,86.104.125.69,86.104.125.69,"(2, ['37.128.239.145'], 9)",[5.785],False,x,x,True
19,10.1.0.99,86.104.125.69,86.104.125.69,"(2, ['78.96.208.1'], 9)",[11.955],False,x,x,False
20,193.168.186.235,86.104.125.69,86.104.125.69,"(0, ['193.168.186.225'], 7)",[0.4186666666666667],False,x,x,False
21,192.168.1.235,86.104.125.69,86.104.125.69,"(4, ['81.22.150.2'], 15)",[3.031333333333333],False,x,x,True
22,172.20.99.250,86.104.125.69,86.104.125.69,"(8, ['37.128.239.142'], 9)",[9.491],False,x,x,True
23,192.168.1.100,86.104.125.69,86.104.125.69,"(3, ['37.128.239.121'], 10)",[9.600666666666667],False,x,x,True
24,10.138.30.40,86.104.125.69,86.104.125.69,"(-1, [], 9)",[0.48866666666666675],False,x,x,False
25,172.16.0.100,86.104.125.69,86.104.125.69,"(3, ['195.28.185.189'], 12)",[1.2530000000000001],False,x,x,True
26,192.168.1.57,86.104.125.69,86.104.125.69,"(-1, [], 9)",[0.504],False,x,x,False
27,192.168.100.67,86.104.125.69,86.104.125.69,"(-1, [], 9)",[5.544999999999999],False,x,x,False
28,10.1.5.212,86.104.125.69,86.104.125.69,"(3, ['62.121.99.1'], 10)",[10.080333333333334],False,x,x,False
29,192.168.0.115,86.104.125.69,86.104.125.69,"(1, ['89.44.208.118'], 8)",[14.2845],False,x,x,False
30,192.168.100.217,86.104.125.69,86.104.125.69,"(2, ['80.86.97.149'], 9)",[1.6930000000000003],False,x,x,True
