addr,router,asn,org,conn_asn,conn_org,rtype,itype
185.173.16.170,185.173.16.170,48112,ORG-XNS8-RIPE,48112,ORG-XNS8-RIPE,70,1
195.2.2.114,195.2.2.114,1273,@aut-1273-RIPE,1273,@aut-1273-RIPE,50,0
185.1.36.113,185.1.36.113,41494,ORG-AI97-RIPE,57815,ORG-NESS1-RIPE,70,0
46.214.145.1,46.214.145.1,48161,ORG-NCS10-RIPE,48161,ORG-NCS10-RIPE,70,-1
62.115.138.47,62.115.138.47,6939,HURC-ARIN,1299,ORG-TCA32-RIPE,11,0
195.28.185.189,195.28.185.189,33823,ORG-PTMS2-RIPE,-1,-1,70,0
212.115.177.65,212.115.177.65,3257,ORG-GCI2-RIPE,9009,ORG-MES6-RIPE,50,0
89.40.40.233,89.40.40.233,9009,ORG-MES6-RIPE,8100,QEL-5-ARIN,70,0
91.220.63.65,91.220.63.65,197357,ORG-CS336-RIPE,197357,ORG-CS336-RIPE,70,-1
93.114.190.186,93.114.190.186,8919,ORG-ATS4-RIPE,8919,ORG-ATS4-RIPE,50,0
89.37.120.161,89.37.120.161,39737,ORG-NVTS1-RIPE,35584,ORG-BIGS2-RIPE,50,0
193.5.122.82,193.5.122.82,3303,ORG-SI1-RIPE,3303,ORG-SI1-RIPE,50,0
217.73.168.1,217.73.168.1,2614,ORG-RA17-RIPE,2614,ORG-RA17-RIPE,50,-1
146.70.1.62,146.70.1.62,9009,ORG-MES6-RIPE,9009,ORG-MES6-RIPE,70,0
195.2.15.57,195.2.15.57,1273,@aut-1273-RIPE,12302,ORG-MS15-RIPE,50,0
212.133.21.13,212.133.21.13,3356,LPL-141-ARIN,3356,LPL-141-ARIN,50,-1
185.199.175.1,185.199.175.1,43927,ORG-ES311-RIPE,43927,ORG-ES311-RIPE,70,-1
85.120.244.1,85.120.244.1,62445,ORG-ANS34-RIPE,62445,ORG-ANS34-RIPE,70,-1
195.16.160.17,195.16.160.17,3356,LPL-141-ARIN,3356,LPL-141-ARIN,50,-1
193.203.0.35,193.203.0.35,3303,ORG-SI1-RIPE,-150,-150,50,-1
62.115.147.6,62.115.147.6,1299,ORG-TCA32-RIPE,3223,ORG-VL241-RIPE,50,0
195.2.29.1,195.2.29.1,1273,@aut-1273-RIPE,12302,ORG-MS15-RIPE,50,0
89.238.233.57,89.238.233.57,6663,ORG-ERS6-RIPE,197357,ORG-CS336-RIPE,50,0
93.114.190.246,93.114.190.246,12302,ORG-MS15-RIPE,8919,ORG-ATS4-RIPE,5000200,0
89.44.235.101,89.44.235.101,39737,ORG-NVTS1-RIPE,39737,ORG-NVTS1-RIPE,70,1
37.128.239.1,37.128.239.1,2614,ORG-RA17-RIPE,2614,ORG-RA17-RIPE,70,1
37.128.239.105,37.128.239.105,2614,ORG-RA17-RIPE,2614,ORG-RA17-RIPE,50,0
62.115.114.112,62.115.114.112,1299,ORG-TCA32-RIPE,1299,ORG-TCA32-RIPE,50,0
194.40.210.1,194.40.210.1,57815,ORG-NESS1-RIPE,57815,ORG-NESS1-RIPE,70,-1
62.140.27.177,62.140.27.177,3356,LPL-141-ARIN,39737,ORG-NVTS1-RIPE,50,0
138.187.129.248,138.187.129.248,3303,ORG-SI1-RIPE,3303,ORG-SI1-RIPE,6,2
185.173.16.130,185.173.16.130,48112,ORG-XNS8-RIPE,48112,ORG-XNS8-RIPE,50,-1
