addr,router,asn,org,conn_asn,conn_org,rtype,itype
213.151.198.26,213.151.198.26,15962,ORG-OSA4-RIPE,15962,ORG-OSA4-RIPE,70,0
87.244.214.145,87.244.214.145,31117,ORG-EA46-RIPE,31117,ORG-EA46-RIPE,50,-1
87.244.238.78,87.244.238.78,31117,ORG-EA46-RIPE,31117,ORG-EA46-RIPE,70,1
185.171.140.166,185.171.140.166,31117,ORG-EA46-RIPE,31117,ORG-EA46-RIPE,50,0
185.171.140.77,185.171.140.77,31117,ORG-EA46-RIPE,31117,ORG-EA46-RIPE,50,-1
217.23.241.62,217.23.241.62,6830,ORG-UNB2-RIPE,6830,ORG-UNB2-RIPE,2,0
109.236.114.1,109.236.114.1,50242,ORG-LS55-RIPE,50242,ORG-LS55-RIPE,70,0
185.171.140.171,185.171.140.171,31117,ORG-EA46-RIPE,31117,ORG-EA46-RIPE,50,0
87.244.236.38,87.244.236.38,31117,ORG-EA46-RIPE,31117,ORG-EA46-RIPE,50,0
185.171.141.40,185.171.141.40,31117,ORG-EA46-RIPE,31117,ORG-EA46-RIPE,70,0
188.123.98.129,188.123.98.129,58328,ORG-IS562-RIPE,58328,ORG-IS562-RIPE,50,-1
212.5.219.225,212.5.219.225,6855,ORG-ST4-RIPE,6855,ORG-ST4-RIPE,70,-1
185.171.141.50,185.171.141.50,31117,ORG-EA46-RIPE,31117,ORG-EA46-RIPE,50,-1
80.87.211.88,80.87.211.88,35328,ORG-DDS1-RIPE,35328,ORG-DDS1-RIPE,50,0
185.171.140.198,185.171.140.198,31117,ORG-EA46-RIPE,31117,ORG-EA46-RIPE,50,0
62.168.99.61,62.168.99.61,5578,ORG-SPA43-RIPE,5578,ORG-SPA43-RIPE,70,0
185.213.144.65,185.213.144.65,43451,ORG-SA61-RIPE,43451,ORG-SA61-RIPE,70,0
88.212.0.58,88.212.0.58,42841,ORG-ACAC3-RIPE,42841,ORG-ACAC3-RIPE,70,1
185.176.72.94,185.176.72.94,29405,ORG-VSRO1-RIPE,29405,ORG-VSRO1-RIPE,50,0
80.87.217.241,80.87.217.241,35328,ORG-DDS1-RIPE,35328,ORG-DDS1-RIPE,50,-1
88.212.4.53,88.212.4.53,42841,ORG-ACAC3-RIPE,42841,ORG-ACAC3-RIPE,50,0
213.81.232.250,213.81.232.250,6855,ORG-ST4-RIPE,6855,ORG-ST4-RIPE,70,-1
213.81.233.157,213.81.233.157,6855,ORG-ST4-RIPE,6855,ORG-ST4-RIPE,70,-1
185.171.142.82,185.171.142.82,31117,ORG-EA46-RIPE,31117,ORG-EA46-RIPE,50,0
185.171.142.42,185.171.142.42,31117,ORG-EA46-RIPE,31117,ORG-EA46-RIPE,50,0
213.81.232.198,213.81.232.198,6855,ORG-ST4-RIPE,6855,ORG-ST4-RIPE,70,-1
195.80.185.236,195.80.185.236,8778,ORG-SA61-RIPE,8778,ORG-SA61-RIPE,70,-1
80.87.211.146,80.87.211.146,35328,ORG-DDS1-RIPE,35328,ORG-DDS1-RIPE,50,0
213.81.232.193,213.81.232.193,6855,ORG-ST4-RIPE,6855,ORG-ST4-RIPE,70,-1
185.171.142.75,185.171.142.75,31117,ORG-EA46-RIPE,31117,ORG-EA46-RIPE,50,0
185.176.72.86,185.176.72.86,29405,ORG-VSRO1-RIPE,29405,ORG-VSRO1-RIPE,50,0
80.87.211.8,80.87.211.8,35328,ORG-DDS1-RIPE,35328,ORG-DDS1-RIPE,70,0
80.87.217.249,80.87.217.249,35328,ORG-DDS1-RIPE,35328,ORG-DDS1-RIPE,50,-1
188.123.97.1,188.123.97.1,58328,ORG-IS562-RIPE,58328,ORG-IS562-RIPE,70,-1
92.60.50.253,92.60.50.253,44185,ORG-BSS25-RIPE,44185,ORG-BSS25-RIPE,70,-1
217.73.16.225,217.73.16.225,29405,ORG-VSRO1-RIPE,61424,ORG-ES256-RIPE,50,0
185.171.141.196,185.171.141.196,31117,ORG-EA46-RIPE,31117,ORG-EA46-RIPE,50,0
192.108.148.170,192.108.148.170,-1,-1,-184,-184,1,-1
185.171.141.188,185.171.141.188,31117,ORG-EA46-RIPE,31117,ORG-EA46-RIPE,50,1
85.159.105.209,85.159.105.209,34820,ORG-DOSS2-RIPE,34820,ORG-DOSS2-RIPE,70,-1
194.160.8.2,194.160.8.2,2607,ORG-SAN1-RIPE,2607,ORG-SAN1-RIPE,70,0
80.87.221.118,80.87.221.118,35328,ORG-DDS1-RIPE,35328,ORG-DDS1-RIPE,50,0
185.171.141.61,185.171.141.61,31117,ORG-EA46-RIPE,31117,ORG-EA46-RIPE,70,0
195.168.60.233,195.168.60.233,5578,ORG-SPA43-RIPE,50242,ORG-LS55-RIPE,50,0
82.119.102.145,82.119.102.145,6830,ORG-UNB2-RIPE,6830,ORG-UNB2-RIPE,50,-1
185.48.249.9,185.48.249.9,61424,ORG-ES256-RIPE,44477,ORG-SISL20-RIPE,70,0
147.232.16.1,147.232.16.1,2607,ORG-SAN1-RIPE,2607,ORG-SAN1-RIPE,50,-1
147.232.200.4,147.232.200.4,2607,ORG-SAN1-RIPE,2607,ORG-SAN1-RIPE,50,0
109.236.114.2,109.236.114.2,50242,ORG-LS55-RIPE,50242,ORG-LS55-RIPE,50,-1
185.171.140.58,185.171.140.58,31117,ORG-EA46-RIPE,31117,ORG-EA46-RIPE,50,0
185.171.140.225,185.171.140.225,31117,ORG-EA46-RIPE,31117,ORG-EA46-RIPE,50,0
185.171.141.108,185.171.141.108,31117,ORG-EA46-RIPE,31117,ORG-EA46-RIPE,50,-1
213.151.196.2,213.151.196.2,15962,ORG-OSA4-RIPE,15962,ORG-OSA4-RIPE,70,0
5.252.23.1,5.252.23.1,44477,ORG-SISL20-RIPE,44477,ORG-SISL20-RIPE,70,-1
88.212.4.50,88.212.4.50,42841,ORG-ACAC3-RIPE,42841,ORG-ACAC3-RIPE,50,-1
212.89.227.4,212.89.227.4,12508,ORG-DR1-RIPE,12508,ORG-DR1-RIPE,70,0
195.168.100.181,195.168.100.181,5578,ORG-SPA43-RIPE,58328,ORG-IS562-RIPE,50,1
185.69.107.1,185.69.107.1,201603,ORG-AS360-RIPE,201603,ORG-AS360-RIPE,70,-1
212.89.225.129,212.89.225.129,12508,ORG-DR1-RIPE,12508,ORG-DR1-RIPE,50,-1
185.171.141.80,185.171.141.80,31117,ORG-EA46-RIPE,31117,ORG-EA46-RIPE,50,0
80.242.36.129,80.242.36.129,44234,ORG-GS320-RIPE,44234,ORG-GS320-RIPE,70,-1
91.221.4.1,91.221.4.1,49798,ORG-SS584-RIPE,49798,ORG-SS584-RIPE,70,-1
213.151.198.57,213.151.198.57,15962,ORG-OSA4-RIPE,15962,ORG-OSA4-RIPE,50,1
87.244.236.30,87.244.236.30,31117,ORG-EA46-RIPE,31117,ORG-EA46-RIPE,70,0
88.212.4.13,88.212.4.13,42841,ORG-ACAC3-RIPE,42841,ORG-ACAC3-RIPE,50,-1
62.168.99.65,62.168.99.65,5578,ORG-SPA43-RIPE,5578,ORG-SPA43-RIPE,70,1
185.171.142.86,185.171.142.86,31117,ORG-EA46-RIPE,31117,ORG-EA46-RIPE,50,0
80.87.211.16,80.87.211.16,35328,ORG-DDS1-RIPE,35328,ORG-DDS1-RIPE,50,1
78.141.71.1,78.141.71.1,15962,ORG-OSA4-RIPE,15962,ORG-OSA4-RIPE,50,-1
185.213.144.242,185.213.144.242,43451,ORG-SA61-RIPE,43451,ORG-SA61-RIPE,50,-1
62.115.45.30,62.115.45.30,1299,ORG-TCA32-RIPE,1299,ORG-TCA32-RIPE,2,-1
78.141.76.1,78.141.76.1,15962,ORG-OSA4-RIPE,15962,ORG-OSA4-RIPE,50,-1
176.116.104.1,176.116.104.1,58130,ORG-RS198-RIPE,58130,ORG-RS198-RIPE,70,-1
80.87.211.100,80.87.211.100,35328,ORG-DDS1-RIPE,35328,ORG-DDS1-RIPE,50,0
88.212.0.70,88.212.0.70,42841,ORG-ACAC3-RIPE,42841,ORG-ACAC3-RIPE,50,0
185.213.144.241,185.213.144.241,43451,ORG-SA61-RIPE,43451,ORG-SA61-RIPE,70,0
88.212.0.217,88.212.0.217,42841,ORG-ACAC3-RIPE,42841,ORG-ACAC3-RIPE,50,0
185.171.142.106,185.171.142.106,31117,ORG-EA46-RIPE,31117,ORG-EA46-RIPE,50,-1
31.170.64.129,31.170.64.129,8887,ORG-TS118-RIPE,8887,ORG-TS118-RIPE,70,-1
195.168.55.13,195.168.55.13,5578,ORG-SPA43-RIPE,5578,ORG-SPA43-RIPE,50,-1
217.145.199.1,217.145.199.1,12426,ORG-SA61-RIPE,12426,ORG-SA61-RIPE,70,-1
213.151.193.65,213.151.193.65,15962,ORG-OSA4-RIPE,15962,ORG-OSA4-RIPE,70,-1
185.171.141.92,185.171.141.92,31117,ORG-EA46-RIPE,31117,ORG-EA46-RIPE,50,0
185.171.142.84,185.171.142.84,31117,ORG-EA46-RIPE,31117,ORG-EA46-RIPE,50,0
90.64.216.1,90.64.216.1,15962,ORG-OSA4-RIPE,15962,ORG-OSA4-RIPE,50,-1
185.176.72.114,185.176.72.114,29405,ORG-VSRO1-RIPE,29405,ORG-VSRO1-RIPE,70,0
188.123.96.237,188.123.96.237,58328,ORG-IS562-RIPE,58328,ORG-IS562-RIPE,70,0
213.151.198.94,213.151.198.94,15962,ORG-OSA4-RIPE,15962,ORG-OSA4-RIPE,70,0
178.143.195.1,178.143.195.1,15962,ORG-OSA4-RIPE,15962,ORG-OSA4-RIPE,50,-1
185.213.144.70,185.213.144.70,43451,ORG-SA61-RIPE,43451,ORG-SA61-RIPE,50,-1
185.171.141.106,185.171.141.106,31117,ORG-EA46-RIPE,31117,ORG-EA46-RIPE,50,-1
195.80.185.224,195.80.185.224,8778,ORG-SA61-RIPE,8778,ORG-SA61-RIPE,70,-1
147.232.14.145,147.232.14.145,2607,ORG-SAN1-RIPE,2607,ORG-SAN1-RIPE,50,0
195.80.185.234,195.80.185.234,8778,ORG-SA61-RIPE,8778,ORG-SA61-RIPE,70,-1
