,Source_IP,Destination_Name,Destination_IP,Last_Valid_Hop,RTT,Success?,Destination_IP_responded,Destination_RTT,possibly_reached?
0,172.20.11.11,192.108.148.170,192.108.148.170,"(4, ['62.168.99.61'], 7)",[13.554666666666668],True,x,x,True
1,78.141.76.187,192.108.148.170,192.108.148.170,"(2, ['213.151.196.2'], 4)",[2.4889999999999994],True,x,x,True
2,10.0.109.52,192.108.148.170,192.108.148.170,"(4, ['88.212.0.58'], 6)",[7.819666666666667],True,x,x,True
3,82.119.102.146,192.108.148.170,192.108.148.170,"(2, ['217.23.241.62'], 3)",[10.283999999999999],False,x,x,True
4,192.168.100.2,192.108.148.170,192.108.148.170,"(4, ['213.151.198.94'], 6)",[10.367333333333333],True,x,x,True
5,45.95.11.135,192.108.148.170,192.108.148.170,"(5, ['185.176.72.114'], 7)",[0.9540000000000001],True,x,x,True
6,192.168.100.18,192.108.148.170,192.108.148.170,"(2, ['213.151.193.65'], 4)",[4.8276666666666666],True,x,x,True
7,176.116.104.49,192.108.148.170,192.108.148.170,"(8, ['185.171.141.40'], 10)",[11.424666666666667],True,x,x,True
8,172.18.0.2,192.108.148.170,192.108.148.170,"(2, ['213.81.232.198'], 5)",[3.23],True,x,x,True
9,172.17.0.2,192.108.148.170,192.108.148.170,"(4, ['194.160.8.2'], 6)",[6.297],True,x,x,True
10,10.10.66.17,192.108.148.170,192.108.148.170,"(1, ['213.81.232.193'], 4)",[2.692666666666667],True,x,x,True
11,192.108.131.3,192.108.148.170,192.108.148.170,"(1, ['194.160.8.2'], 3)",[7.220666666666666],True,x,x,True
12,192.168.2.5,192.108.148.170,192.108.148.170,"(5, ['88.212.0.58'], 7)",[8.704],True,x,x,True
13,192.168.0.67,192.108.148.170,192.108.148.170,"(-1, [], 5)",[0.49300000000000005],True,x,x,True
14,80.87.217.250,192.108.148.170,192.108.148.170,"(3, ['80.87.211.8'], 5)",[7.310333333333333],True,x,x,True
15,80.87.217.242,192.108.148.170,192.108.148.170,"(5, ['80.87.211.8'], 7)",[6.921],True,x,x,True
16,80.242.36.134,192.108.148.170,192.108.148.170,"(6, ['87.244.238.78'], 8)",[5.934666666666668],True,x,x,True
17,10.1.1.182,192.108.148.170,192.108.148.170,"(3, ['62.168.99.65'], 6)",[5.423666666666667],True,x,x,True
18,10.12.99.253,192.108.148.170,192.108.148.170,"(8, ['87.244.236.30'], 10)",[3.655],True,x,x,True
19,31.170.64.141,192.108.148.170,192.108.148.170,"(3, ['87.244.238.78'], 5)",[6.842],True,x,x,True
20,10.1.30.13,192.108.148.170,192.108.148.170,"(8, ['195.80.185.234'], 10)",[5.016],True,x,x,True
21,10.0.12.188,192.108.148.170,192.108.148.170,"(2, ['213.81.232.193'], 5)",[2.5323333333333333],True,x,x,True
22,192.168.1.66,192.108.148.170,192.108.148.170,"(6, ['213.151.198.94'], 8)",[10.806666666666667],True,x,x,True
23,10.129.8.128,192.108.148.170,192.108.148.170,"(2, ['212.89.227.4'], 4)",[0.605],True,x,x,True
24,172.30.19.220,192.108.148.170,192.108.148.170,"(1, ['185.69.107.1'], 8)",[0.3960000000000001],True,x,x,True
25,192.168.3.3,192.108.148.170,192.108.148.170,"(6, ['195.80.185.224'], 8)",[7.625],True,x,x,True
26,192.168.1.26,192.108.148.170,192.108.148.170,"(1, ['213.81.232.198'], 4)",[4.3613333333333335],True,x,x,True
27,192.168.1.223,192.108.148.170,192.108.148.170,"(1, ['213.81.233.157'], 4)",[2.5853333333333333],True,x,x,True
28,192.168.100.51,192.108.148.170,192.108.148.170,"(4, ['213.151.198.94'], 6)",[10.814333333333332],True,x,x,True
29,192.168.3.254,192.108.148.170,192.108.148.170,"(4, ['62.168.99.65'], 7)",[5.708333333333333],True,x,x,True
30,172.22.16.160,192.108.148.170,192.108.148.170,"(11, ['87.244.236.30'], 13)",[6.425666666666667],True,x,x,True
31,192.168.0.15,192.108.148.170,192.108.148.170,"(5, ['62.115.45.30'], 6)",[8.1165],False,x,x,True
32,10.0.1.22,192.108.148.170,192.108.148.170,"(4, ['195.80.185.236'], 6)",[6.947333333333333],True,x,x,True
33,192.168.1.22,192.108.148.170,192.108.148.170,"(1, ['213.81.232.193'], 4)",[2.9439999999999995],True,x,x,True
34,192.168.0.153,192.108.148.170,192.108.148.170,"(4, ['213.151.198.26'], 6)",[9.309666666666667],True,x,x,True
35,192.168.1.254,192.108.148.170,192.108.148.170,"(1, ['213.81.232.193'], 4)",[2.6763333333333335],True,x,x,True
36,192.168.30.110,192.108.148.170,192.108.148.170,"(1, ['92.60.50.253'], 4)",[1.5206666666666664],True,x,x,True
37,192.168.2.127,192.108.148.170,192.108.148.170,"(3, ['213.151.193.65'], 5)",[4.617666666666666],True,x,x,True
38,212.5.219.226,192.108.148.170,192.108.148.170,"(0, ['212.5.219.225'], 3)",[1.3333333333333333],True,x,x,True
39,10.1.0.12,192.108.148.170,192.108.148.170,"(2, ['213.81.232.250'], 5)",[3.2319999999999998],True,x,x,True
40,192.168.2.27,192.108.148.170,192.108.148.170,"(2, ['213.81.232.198'], 5)",[4.104],True,x,x,True
41,192.168.5.253,192.108.148.170,192.108.148.170,"(3, ['62.168.99.65'], 6)",[5.473333333333334],True,x,x,True
42,10.240.0.230,192.108.148.170,192.108.148.170,"(5, ['88.212.0.58'], 7)",[8.079666666666668],True,x,x,True
43,91.221.4.240,192.108.148.170,192.108.148.170,"(3, ['185.171.141.61'], 5)",[4.968],True,x,x,True
