,Source_IP,Destination_Name,Destination_IP,Last_Valid_Hop,RTT,Success?,Destination_IP_responded,Destination_RTT,possibly_reached?
0,10.98.0.194,185.1.48.22,185.1.48.22,"(3, ['95.70.144.49'], 5)",[12.803999999999998],True,x,x,True
1,192.168.2.100,185.1.48.22,185.1.48.22,"(5, ['176.235.61.6'], 7)",[11.803666666666667],True,x,x,True
2,192.168.46.43,185.1.48.22,185.1.48.22,"(1, ['212.12.128.161'], 8)",[6.636666666666667],True,x,x,True
3,104.237.228.43,185.1.48.22,185.1.48.22,"(3, ['46.31.76.98'], 5)",[0.5073333333333333],True,x,x,True
4,195.93.226.2,185.1.48.22,185.1.48.22,"(8, ['176.235.61.6'], 10)",[7.906666666666666],True,x,x,True
5,91.93.118.21,185.1.48.22,185.1.48.22,"(0, ['91.93.118.17'], 12)",[6.705666666666666],False,x,x,False
6,192.168.0.157,185.1.48.22,185.1.48.22,"(6, ['81.212.216.50'], 13)",[5.045999999999999],False,x,x,True
7,172.31.1.9,185.1.48.22,185.1.48.22,"(6, ['31.145.5.89'], 13)",[1.5259999999999998],True,x,x,True
8,172.18.0.2,185.1.48.22,185.1.48.22,"(-1, [], 8)",[0.08833333333333333],True,x,x,True
9,172.18.0.2,185.1.48.22,185.1.48.22,"(-1, [], 8)",[0.11733333333333333],True,x,x,True
10,178.251.46.131,185.1.48.22,185.1.48.22,"(0, ['178.251.46.129'], 11)",[0.409],True,x,x,True
11,172.19.0.2,185.1.48.22,185.1.48.22,"(3, ['195.214.169.69'], 13)",[1.3023333333333333],True,x,x,True
12,10.1.1.144,185.1.48.22,185.1.48.22,"(-1, [], 7)",[0.29833333333333334],False,x,x,False
13,213.142.143.58,185.1.48.22,185.1.48.22,"(6, ['176.235.61.6'], 8)",[1.1563333333333334],True,x,x,True
14,91.241.50.205,185.1.48.22,185.1.48.22,"(2, ['46.31.76.5'], 4)",[0.754],True,x,x,True
15,172.17.0.2,185.1.48.22,185.1.48.22,"(-1, [], 6)",[0.22566666666666668],True,x,x,True
16,185.50.71.4,185.1.48.22,185.1.48.22,"(3, ['212.156.120.130'], 10)",[2.338],False,x,x,True
