addr,router,asn,org,conn_asn,conn_org,rtype,itype
212.156.120.93,212.156.120.93,9121,ORG-TT3-RIPE,9121,ORG-TT3-RIPE,50,0
2.56.109.1,2.56.109.1,205463,ORG-PGIK2-RIPE,205463,ORG-PGIK2-RIPE,70,-1
81.212.78.45,81.212.78.45,9121,ORG-TT3-RIPE,9121,ORG-TT3-RIPE,50,-1
46.31.76.24,46.31.76.24,61135,ORG-CBIT1-RIPE,61135,ORG-CBIT1-RIPE,50,-1
176.40.160.1,176.40.160.1,34984,ORG-BTHA1-RIPE,34984,ORG-BTHA1-RIPE,70,-1
212.12.128.161,212.12.128.161,15924,ORG-BIHA1-RIPE,15924,ORG-BIHA1-RIPE,70,-1
46.31.76.5,46.31.76.5,61135,ORG-CBIT1-RIPE,61135,ORG-CBIT1-RIPE,70,0
46.221.30.29,46.221.30.29,15924,ORG-BIHA1-RIPE,15924,ORG-BIHA1-RIPE,70,-1
95.70.195.41,95.70.195.41,35509,ORG-SIOI1-RIPE,12735,ORG-SN10-RIPE,270,0
176.236.80.73,176.236.80.73,34984,ORG-BTHA1-RIPE,34984,ORG-BTHA1-RIPE,70,-1
212.174.242.161,212.174.242.161,9121,ORG-TT3-RIPE,9121,ORG-TT3-RIPE,50,-1
89.207.12.254,89.207.12.254,201863,ORG-SOBB3-RIPE,201863,ORG-SOBB3-RIPE,70,-1
31.145.5.89,31.145.5.89,15924,ORG-BIHA1-RIPE,15924,ORG-BIHA1-RIPE,70,-1
81.212.220.201,81.212.220.201,9121,ORG-TT3-RIPE,9121,ORG-TT3-RIPE,50,0
213.74.210.217,213.74.210.217,34984,ORG-BTHA1-RIPE,34984,ORG-BTHA1-RIPE,70,0
212.154.5.174,212.154.5.174,12735,ORG-SN10-RIPE,12735,ORG-SN10-RIPE,50,0
185.1.48.37,185.1.48.37,-1,-1,-1250,-1250,1,-1
31.223.122.158,31.223.122.158,12735,ORG-SN10-RIPE,12735,ORG-SN10-RIPE,50,0
159.146.118.5,159.146.118.5,9121,ORG-TT3-RIPE,12735,ORG-SN10-RIPE,5000000,-1
193.192.119.198,193.192.119.198,12735,ORG-SN10-RIPE,12735,ORG-SN10-RIPE,50,0
151.250.32.1,151.250.32.1,34984,ORG-BTHA1-RIPE,34984,ORG-BTHA1-RIPE,70,-1
195.93.226.1,195.93.226.1,206271,ORG-FU15-RIPE,206271,ORG-FU15-RIPE,50,-1
81.212.72.145,81.212.72.145,9121,ORG-TT3-RIPE,47331,ORG-TA300-RIPE,2,0
81.212.78.43,81.212.78.43,9121,ORG-TT3-RIPE,9121,ORG-TT3-RIPE,50,-1
31.223.121.29,31.223.121.29,12735,ORG-SN10-RIPE,12735,ORG-SN10-RIPE,50,0
195.93.226.254,195.93.226.254,206271,ORG-FU15-RIPE,206271,ORG-FU15-RIPE,70,0
5.188.168.3,5.188.168.3,202422,ORG-WIG6-RIPE,202422,ORG-WIG6-RIPE,70,-1
185.49.129.217,185.49.129.217,29399,ORG-RTL3-RIPE,29399,ORG-RTL3-RIPE,70,0
77.92.111.189,77.92.111.189,25145,ORG-TEA1-RIPE,25145,ORG-TEA1-RIPE,70,-1
104.237.228.33,104.237.228.33,57935,ORG-NTLS3-RIPE,57935,ORG-NTLS3-RIPE,70,-1
178.251.46.129,178.251.46.129,6823,ORG-TVIH1-RIPE,6823,ORG-TVIH1-RIPE,70,-1
159.146.118.21,159.146.118.21,12735,ORG-SN10-RIPE,12735,ORG-SN10-RIPE,50,-1
85.100.208.1,85.100.208.1,47331,ORG-TA300-RIPE,47331,ORG-TA300-RIPE,70,-1
81.212.219.180,81.212.219.180,9121,ORG-TT3-RIPE,9121,ORG-TT3-RIPE,50,0
95.70.144.49,95.70.144.49,12735,ORG-SN10-RIPE,12735,ORG-SN10-RIPE,70,0
213.14.86.249,213.14.86.249,35509,ORG-SIOI1-RIPE,35509,ORG-SIOI1-RIPE,70,-1
77.223.128.217,77.223.128.217,35509,ORG-SIOI1-RIPE,43391,ORG-TBTL1-RIPE,270,-1
193.192.119.173,193.192.119.173,12735,ORG-SN10-RIPE,12735,ORG-SN10-RIPE,50,0
212.156.70.13,212.156.70.13,9121,ORG-TT3-RIPE,9121,ORG-TT3-RIPE,50,-1
81.212.73.25,81.212.73.25,9121,ORG-TT3-RIPE,9121,ORG-TT3-RIPE,50,-1
81.212.216.50,81.212.216.50,9121,ORG-TT3-RIPE,9121,ORG-TT3-RIPE,2,2
81.212.214.43,81.212.214.43,9121,ORG-TT3-RIPE,9121,ORG-TT3-RIPE,2,0
95.70.144.38,95.70.144.38,12735,ORG-SN10-RIPE,12735,ORG-SN10-RIPE,50,0
46.31.76.28,46.31.76.28,61135,ORG-CBIT1-RIPE,61135,ORG-CBIT1-RIPE,50,0
176.235.61.6,176.235.61.6,35509,ORG-SIOI1-RIPE,35509,ORG-SIOI1-RIPE,70,1
81.212.218.34,81.212.218.34,9121,ORG-TT3-RIPE,9121,ORG-TT3-RIPE,2,0
91.93.118.17,91.93.118.17,34984,ORG-BTHA1-RIPE,34984,ORG-BTHA1-RIPE,70,-1
95.70.217.225,95.70.217.225,12735,ORG-SN10-RIPE,12735,ORG-SN10-RIPE,50,-1
95.70.144.37,95.70.144.37,12735,ORG-SN10-RIPE,12735,ORG-SN10-RIPE,50,-1
31.206.37.69,31.206.37.69,15924,ORG-BIHA1-RIPE,15924,ORG-BIHA1-RIPE,70,-1
195.87.128.36,195.87.128.36,15924,ORG-BIHA1-RIPE,15924,ORG-BIHA1-RIPE,70,-1
95.70.144.17,95.70.144.17,12735,ORG-SN10-RIPE,12735,ORG-SN10-RIPE,50,0
91.241.50.1,91.241.50.1,209828,ORG-GBBT1-RIPE,209828,ORG-GBBT1-RIPE,70,-1
31.223.122.157,31.223.122.157,12735,ORG-SN10-RIPE,12735,ORG-SN10-RIPE,50,-1
212.154.5.177,212.154.5.177,12735,ORG-SN10-RIPE,12735,ORG-SN10-RIPE,50,0
195.175.203.217,195.175.203.217,9121,ORG-TT3-RIPE,9121,ORG-TT3-RIPE,50,-1
91.93.47.193,91.93.47.193,34984,ORG-BTHA1-RIPE,34984,ORG-BTHA1-RIPE,50,-1
81.212.201.64,81.212.201.64,9121,ORG-TT3-RIPE,9121,ORG-TT3-RIPE,2,0
46.197.32.1,46.197.32.1,47524,ORG-TUHV1-RIPE,47524,ORG-TUHV1-RIPE,70,-1
212.156.120.130,212.156.120.130,9121,ORG-TT3-RIPE,9121,ORG-TT3-RIPE,2,0
185.50.71.1,185.50.71.1,208425,ORG-OTL24-RIPE,208425,ORG-OTL24-RIPE,70,-1
185.202.243.169,185.202.243.169,205893,ORG-WTBS1-RIPE,205893,ORG-WTBS1-RIPE,70,-1
212.154.5.173,212.154.5.173,12735,ORG-SN10-RIPE,12735,ORG-SN10-RIPE,50,-1
185.49.129.193,185.49.129.193,29399,ORG-RTL3-RIPE,29399,ORG-RTL3-RIPE,50,-1
91.93.67.221,91.93.67.221,34984,ORG-BTHA1-RIPE,25145,ORG-TEA1-RIPE,70,0
33.33.33.33,33.33.33.33,15924,ORG-BIHA1-RIPE,0,0,50,0
159.146.100.22,159.146.100.22,35509,ORG-SIOI1-RIPE,12735,ORG-SN10-RIPE,270,0
46.31.76.96,46.31.76.96,61135,ORG-CBIT1-RIPE,61135,ORG-CBIT1-RIPE,70,0
95.70.143.61,95.70.143.61,12735,ORG-SN10-RIPE,12735,ORG-SN10-RIPE,50,-1
31.223.29.62,31.223.29.62,35509,ORG-SIOI1-RIPE,12735,ORG-SN10-RIPE,270,0
31.223.122.161,31.223.122.161,12735,ORG-SN10-RIPE,12735,ORG-SN10-RIPE,50,0
46.31.76.100,46.31.76.100,61135,ORG-CBIT1-RIPE,61135,ORG-CBIT1-RIPE,50,-1
195.175.171.241,195.175.171.241,9121,ORG-TT3-RIPE,9121,ORG-TT3-RIPE,2,0
159.146.113.206,159.146.113.206,12735,ORG-SN10-RIPE,12735,ORG-SN10-RIPE,50,1
