,Source_IP,Destination_Name,Destination_IP,Last_Valid_Hop,RTT,Success?,Destination_IP_responded,Destination_RTT,possibly_reached?
0,10.98.0.194,185.1.48.37,185.1.48.37,"(3, ['95.70.144.49'], 5)",[15.612],True,x,x,True
1,192.168.2.100,185.1.48.37,185.1.48.37,"(5, ['176.235.61.6'], 7)",[11.836333333333334],True,x,x,True
2,192.168.46.43,185.1.48.37,185.1.48.37,"(1, ['212.12.128.161'], 8)",[5.510000000000001],True,x,x,True
3,104.237.228.43,185.1.48.37,185.1.48.37,"(3, ['46.31.76.96'], 5)",[0.5316666666666666],True,x,x,True
4,195.93.226.2,185.1.48.37,185.1.48.37,"(8, ['176.235.61.6'], 10)",[7.643000000000001],True,x,x,True
5,91.93.118.21,185.1.48.37,185.1.48.37,"(0, ['91.93.118.17'], 7)",[3.606666666666667],True,x,x,True
6,192.168.0.157,185.1.48.37,185.1.48.37,"(6, ['81.212.216.50'], 13)",[5.134333333333333],False,x,x,False
7,172.31.1.9,185.1.48.37,185.1.48.37,"(6, ['31.145.5.89'], 13)",[1.1420000000000001],True,x,x,True
8,172.18.0.2,185.1.48.37,185.1.48.37,"(-1, [], 8)",[0.12366666666666666],True,x,x,True
9,172.18.0.2,185.1.48.37,185.1.48.37,"(-1, [], 8)",[0.10966666666666668],True,x,x,True
10,178.251.46.131,185.1.48.37,185.1.48.37,"(0, ['178.251.46.129'], 11)",[0.36066666666666664],True,x,x,True
11,172.19.0.2,185.1.48.37,185.1.48.37,"(3, ['213.14.86.249'], 13)",[14.262],True,x,x,True
12,10.1.1.144,185.1.48.37,185.1.48.37,"(-1, [], 7)",[0.32066666666666666],False,x,x,False
13,213.142.143.58,185.1.48.37,185.1.48.37,"(6, ['176.235.61.6'], 8)",[1.129],True,x,x,True
14,91.241.50.205,185.1.48.37,185.1.48.37,"(2, ['46.31.76.5'], 4)",[0.7686666666666667],True,x,x,True
15,172.17.0.2,185.1.48.37,185.1.48.37,"(-1, [], 6)",[0.20566666666666666],True,x,x,True
16,185.50.71.4,185.1.48.37,185.1.48.37,"(3, ['212.156.120.130'], 10)",[2.3633333333333333],False,x,x,False
