Source_IP,Destination_Name,Destination_IP,Last_Valid_Hop,RTT,Success?,Destination_IP_responded,Destination_RTT
10.98.0.194,185.1.158.3,185.1.158.3,"(2, ['193.192.119.173'], 9)",[12.133],False,x,x
192.168.2.100,185.1.158.3,185.1.158.3,"(5, ['81.212.222.209'], 12)",[9.932],False,x,x
104.237.228.43,185.1.158.3,185.1.158.3,"(3, ['46.31.76.96'], 10)",[1.331],False,x,x
195.93.226.2,185.1.158.3,185.1.158.3,"(14, ['195.93.226.1'], 21)",[0.163],False,x,x
91.93.118.21,185.1.158.3,185.1.158.3,"(0, ['91.93.118.17'], 12)",[3.048],False,x,x
192.168.0.157,185.1.158.3,185.1.158.3,"(-1, [], 11)",[0.38],False,x,x
172.31.1.9,185.1.158.3,185.1.158.3,"(6, ['31.145.5.89'], 18)",[2.041],False,x,x
172.18.0.2,185.1.158.3,185.1.158.3,"(-1, [], 13)",[0.09],False,x,x
172.18.0.2,185.1.158.3,185.1.158.3,"(-1, [], 13)",[0.112],False,x,x
178.251.46.131,185.1.158.3,185.1.158.3,"(4, ['81.212.222.209'], 11)",[1.028],False,x,x
192.168.46.43,185.1.158.3,185.1.158.3,"(1, ['212.12.128.161'], 13)",[2.726],False,x,x
172.19.0.2,185.1.158.3,185.1.158.3,"(1, ['77.223.128.217'], 3)",[2.435],False,x,x
10.1.1.144,185.1.158.3,185.1.158.3,"(-1, [], 7)",[0.531],False,x,x
213.142.143.58,185.1.158.3,185.1.158.3,"(5, ['159.146.100.22'], 12)",[3.792],False,x,x
91.241.50.205,185.1.158.3,185.1.158.3,"(0, ['91.241.50.1'], 8)",[4.57],False,x,x
172.17.0.2,185.1.158.3,185.1.158.3,"(6, ['81.212.221.54'], 13)",[0.817],False,x,x
192.168.0.160,185.1.158.3,185.1.158.3,"(4, ['81.212.213.70'], 11)",[16.368],False,x,x
185.50.71.4,185.1.158.3,185.1.158.3,"(3, ['212.156.120.130'], 10)",[2.556],False,x,x
192.168.67.48,185.1.158.3,185.1.158.3,"(-1, [], 9)",[0.556],False,x,x
192.168.9.2,185.1.158.3,185.1.158.3,"(3, ['81.212.218.34'], 10)",[5.412],False,x,x
192.168.1.100,185.1.158.3,185.1.158.3,"(2, ['81.212.72.145'], 9)",[4.035],False,x,x
192.168.1.20,185.1.158.3,185.1.158.3,"(1, ['176.40.160.1'], 13)",[4.981],False,x,x
192.168.168.93,185.1.158.3,185.1.158.3,"(-1, [], 8)",[1.85],False,x,x
192.168.0.75,185.1.158.3,185.1.158.3,"(4, ['81.212.209.14'], 11)",[13.423],False,x,x
192.168.1.31,185.1.158.3,185.1.158.3,"(5, ['100.96.128.1'], 12)",[2380.05],False,x,x
10.0.1.102,185.1.158.3,185.1.158.3,"(5, ['31.223.29.62'], 12)",[26.715],False,x,x
192.168.0.115,185.1.158.3,185.1.158.3,"(5, ['212.156.252.183'], 12)",[13.734],False,x,x
192.168.1.3,185.1.158.3,185.1.158.3,"(5, ['31.223.39.118'], 12)",[22.322],False,x,x
172.20.1.98,185.1.158.3,185.1.158.3,"(3, ['81.212.214.43'], 10)",[1.444],False,x,x
10.0.0.50,185.1.158.3,185.1.158.3,"(4, ['213.74.210.217'], 16)",[1.549],False,x,x
192.168.3.252,185.1.158.3,185.1.158.3,"(6, ['81.212.197.84'], 13)",[597.564],False,x,x
192.168.1.20,185.1.158.3,185.1.158.3,"(4, ['195.175.171.241'], 11)",[15.127],False,x,x
10.0.0.253,185.1.158.3,185.1.158.3,"(3, ['176.236.80.73'], 14)",[1.921],False,x,x
192.168.3.253,185.1.158.3,185.1.158.3,"(6, ['81.212.197.84'], 13)",[563.247],False,x,x
192.168.1.103,185.1.158.3,185.1.158.3,"(5, ['81.212.209.14'], 12)",[2.329],False,x,x
192.168.1.106,185.1.158.3,185.1.158.3,"(7, ['81.212.222.209'], 14)",[1003.689],False,x,x
172.16.99.106,185.1.158.3,185.1.158.3,"(7, ['81.212.216.50'], 14)",[7.765],False,x,x
192.168.1.71,185.1.158.3,185.1.158.3,"(4, ['95.0.63.161'], 11)",[46.737],False,x,x
192.168.234.6,185.1.158.3,185.1.158.3,"(2, ['213.74.210.217'], 14)",[18.303],False,x,x
192.168.1.2,185.1.158.3,185.1.158.3,"(1, ['151.250.32.1'], 12)",[4.042],False,x,x
192.168.88.148,185.1.158.3,185.1.158.3,"(4, ['212.156.252.183'], 11)",[644.137],False,x,x
185.50.71.8,185.1.158.3,185.1.158.3,"(3, ['212.156.120.130'], 10)",[2.661],False,x,x
192.168.1.133,185.1.158.3,185.1.158.3,"(3, ['159.146.118.5'], 10)",[20.917],False,x,x
192.168.100.55,185.1.158.3,185.1.158.3,"(3, ['159.146.22.226'], 10)",[6.775],False,x,x
192.168.1.107,185.1.158.3,185.1.158.3,"(7, ['81.212.222.209'], 14)",[538.297],False,x,x
45.151.2.6,185.1.158.3,185.1.158.3,"(6, ['81.212.246.100'], 13)",[7.835],False,x,x
192.168.2.82,185.1.158.3,185.1.158.3,"(3, ['33.33.33.33'], 13)",[19.879],False,x,x
213.238.162.218,185.1.158.3,185.1.158.3,"(3, ['81.212.213.70'], 10)",[0.856],False,x,x
5.188.168.94,185.1.158.3,185.1.158.3,"(5, ['195.175.203.85'], 12)",[0.943],False,x,x
185.17.112.95,185.1.158.3,185.1.158.3,"(1, ['46.31.76.14'], 8)",[0.451],False,x,x
185.92.0.41,185.1.158.3,185.1.158.3,"(2, ['46.221.30.29'], 15)",[0.793],False,x,x
192.168.0.130,185.1.158.3,185.1.158.3,"(6, ['81.212.216.50'], 13)",[5.281],False,x,x
45.12.55.69,185.1.158.3,185.1.158.3,"(3, ['212.156.120.130'], 10)",[0.588],False,x,x
